Shay, Jerry W. 
Sherr, Charles J. 
Shows, Thomas B. 
Smeal, Tod
Smith, Alan E. 
Spiegelman, Bruce M. 
Sporn, Michael B. 
Springer, Timothy A. 
Stark, George R. 
Stillman, Bruce
Struhl, Kevin
Studier, F. William
Subramani, Suresh
Szostak, Jack W. 
Tempst, Paul
Thompson, Craig B. 
Tjian, Robert
Tonegawa, Susumu
Trent, Jeffrey M. 
Varmus, Harold E. 
Venter, J. Craig
Verma, Inder M. 
Vieira, Jeffrey
Vogelstein, Bert E. 
Wallace, Douglas C. 
Walter, Peter
Wang, Xiaodong
Ward, David C. 
Waterston, Robert H. 
Weber, James Lewis
Weinberg, Robert A. 
Werb, Zena
White, Raymond
Wigler, Michael H. 
Willard, Huntington F. 
Williams, Lewis T. 
Wilson, James M. 
Yamada, Kenneth M. 
Yamamoto, Keith R. 
Yancopoulos, George D. 
Yanisch-Perron, C. 
Yuan, Junying
Zoghbi, Huda Y. 
Dunnett, Stephen B. 
Aghajanian, George Kevork
Akil, Huda
Akiskal, Hagop S. 
Amara, Susan G. 
Amaral, David G. 
Andreasen, Nancy Coover
Armstrong, David M. 
Barker, Jeffery L. 
Bartus, Raymond T. 
Basbaum, Allan I. 
Baudry, Michel
Beal, M. Flint
Bear, Mark F. 
Biederman, Joseph
Bird, Edward Dennis
Black, Ira B. 
Bloom, Floyd E. 
Braff, David L. 
Bredt, David S. 
Breier, Alan
Burke, Jr. , Jack Denning
Busto, Raul
Butters, Nelson
Buzsáki, György
Caron, Marc G. 
Catterall, William A. 
Charney, Dennis Stuart
Chase, Thomas N. 
Choi, Dennis Wonkyu
Civelli, Olivier
Cornblath, David R. 
Coryell, William
Costa, Erminio
Cotman, Carl W. 
Coyle, Joseph T. 
Cummings, Jeffrey L. 
Curran, Tom
Damasio, Antonio
Davis, Kenneth L. 
Davis, Michael
Dawson, Ted M. 
Dawson, Valina Lynn
DeLong, Mahlon R. 
Desimone, Robert
Dickson, Dennis W. 
Dietrich, W. Dalton
DiMauro, Salvatore
Drachman, Daniel B. 
Dubner, Ronald
Duman, Ronald Stanton
Endicott, Jean
Fahn, Stanley
Fibiger, Hans Christian
Folstein, Marshal
Fox, Peter T. 
Gage, Fred H. 
Gajdusek, Daniel Carleton
Gebhart, Gerald F. 
Gerfen, Charles R. 
Geyer, Mark Allen
Ginsberg, Myron D. 
Goodman, Corey S. 
Gorman, Jack M. 
Gould, Elizabeth
Graybiel, Ann M. 
Greenberg, Michael Eldon
Greengard, Paul
Griffin, John W. 
Hallett, Mark
Hardy, John
